ID de respuesta;Fecha de envío;Nombre de la Comunidad de Regantes (CC.RR.);Comunidad Autónoma;Provincia;Demarcación Hidrográfica;Número de comuneros;Superficie total del área de riego en Has
100;24-02-2026;COMUNIDAD DE REGANTES DE LA ZONA IIª DE RIEGO DE LAS VEGAS ALTA Y MEDIA DEL SEGURA;Región de Murcia;Murcia;D.H. del Segura;465;2900
106;24-02-2026;COMUMIDAD DE REGANTES LAS DEHESAS;Comunidad Valenciana;Alicante;D.H. del Segura;100;2500
108;24-02-2026;Campotéjar;Región de Murcia;Murcia;D.H. del Segura;1049;3334
110;24-02-2026;Comunidad de Regantes Fuente Librilla;Región de Murcia;Murcia;D.H. del Segura;60;513
112;24-02-2026;Puerto Lumbreras ;Región de Murcia;Murcia;D.H. del Segura;997;4022
117;24-02-2026;SAN CAYETANO;Comunidad Valenciana;Alicante;D.H. del Segura;300;5
122;24-02-2026;NUEVOS RIEGOS EL PROGRESO;Comunidad Valenciana;Alicante;D.H. del Segura;2523;14000
123;24-02-2026;Las Cuevas de Benferri ;Comunidad Valenciana;Alicante;D.H. del Segura;81;415
129;24-02-2026;Fuentes del Tobar;Castilla-La Mancha;Albacete;D.H. del Segura;30;45
133;24-02-2026;C.R San Antonio de Hijate;Andalucía;Almería;D.H. de las Cuencas Mediterráneas Andaluzas;55;500
134;24-02-2026;COMUNIDAD DE REGANTES DE PULPÍ ALMERÍA;Andalucía;Almería;D.H. del Segura;1231;8451
136;24-02-2026;COMUNIDAD DE REGANTESPOZO LA SANDOVALA;Andalucía;Granada;D.H. de las Cuencas Mediterráneas Andaluzas;160;82
137;24-02-2026;BAJO GUADALQUIVIR;Andalucía;Sevilla;D.H. del Guadalquivir;3369;41727
139;24-02-2026;JUZGADO PRIVATIVO DE AGUAS DE ROJALES;Comunidad Valenciana;Alicante;D.H. del Segura;592;707
142;25-02-2026;J.C.R. ARROCEROS DE LA MARGEN IZQUIERDA DEL GUADALQUIVIR;Andalucía;Sevilla;D.H. del Guadalquivir;16;12000
147;09-03-2026;Cuota 200 Santa Ana de Molvízar Salobreña.;Andalucía;Granada;D.H. de las Cuencas Mediterráneas Andaluzas;832;427.8
148;09-03-2026;Genil Cabra;Andalucía;Córdoba;D.H. del Guadalquivir;2.2;24.5
150;09-03-2026;Genil-Cabra;Andalucía;Córdoba;D.H. del Guadalquivir;2200;24500
