"ID de respuesta","Fecha de envío","1. Nombre de la Comunidad de Regantes (CC.RR.):  ","P2. CC.AA.: ","2. Provincia: ","3. Demarcación Hidrográfica: ","4. Número de comuneros:","5. Superficie total del área de riego en Has.: "
"86","1980-01-01 00:00:00","CR El Acueducto ","Región de Murcia","Murcia","D.H. del Segura","90","470"
"87","1980-01-01 00:00:00","CRfuensantadejacarilla","Comunidad Valenciana","Alicante","D.H. del Segura","200","700"
"88","1980-01-01 00:00:00","COMUNIDAD DE REGANTES SINDICATO DE RIEGOS DE CUEVAS DEL ALMANZORA","Andalucía","Almería","D.H. de las Cuencas Mediterráneas Andaluzas","1800","5400"
"90","1980-01-01 00:00:00","COMUNIDAD DE REGANTES EL VILLAR","Andalucía","Sevilla","D.H. del Guadalquivir","700","2726"
"91","1980-01-01 00:00:00","SINDICATO GENERAL DE AGUAS DE ALICANTE","Comunidad Valenciana","Alicante","D.H. del Segura","721","697.5"
"94","1980-01-01 00:00:00","COMUNIDAD DE REGANTES EL PORVENIR","Región de Murcia","Murcia","D.H. del Segura","1084","1850"
"95","1980-01-01 00:00:00","Las Cañadas","Comunidad Valenciana","Alicante","D.H. del Segura","8","120"
"97","1980-01-01 00:00:00","COMUNIDAD DE REGANTES MURADA NORTE","Comunidad Valenciana","Alicante","D.H. del Segura","120","992"
"98","1980-01-01 00:00:00","CCRR del Azarbe del Merancho","Región de Murcia","","D.H. del Segura","900","1438"
"100","1980-01-01 00:00:00","COMUNIDAD DE REGANTES DE LA ZONA IIª DE RIEGO DE LAS VEGAS ALTA Y MEDIA DEL SEGURA","Región de Murcia","Murcia","D.H. del Segura","465","2900"
"106","1980-01-01 00:00:00","COMUMIDAD DE REGANTES LAS DEHESAS","Comunidad Valenciana","Alicante","D.H. del Segura","100","2500"
"108","1980-01-01 00:00:00","Campotéjar","Región de Murcia","Murcia","D.H. del Segura","1049","3334"
"110","1980-01-01 00:00:00","Comunidad de Regantes Fuente Librilla","Región de Murcia","Murcia","D.H. del Segura","60","513"
"112","1980-01-01 00:00:00","Puerto Lumbreras ","Región de Murcia","Murcia","D.H. del Segura","997","4022"
"117","1980-01-01 00:00:00","SAN CAYETANO","Comunidad Valenciana","Alicante","D.H. del Segura","300","5"
"122","1980-01-01 00:00:00","NUEVOS RIEGOS EL PROGRESO","Comunidad Valenciana","Alicante","D.H. del Segura","2523","14000"
"123","1980-01-01 00:00:00","Las Cuevas de Benferri ","Comunidad Valenciana","Alicante","D.H. del Segura","81","415"
"129","1980-01-01 00:00:00","Fuentes del Tobar","Castilla-La Mancha","Albacete","D.H. del Segura","30","45"
"133","1980-01-01 00:00:00","C.R San Antonio de Hijate","Andalucía","Almería","D.H. de las Cuencas Mediterráneas Andaluzas","55","500"
"134","1980-01-01 00:00:00","COMUNIDAD DE REGANTES DE PULPÍ ALMERÍA","Andalucía","Almería","D.H. del Segura","1231","8451"
"136","1980-01-01 00:00:00","COMUNIDAD DE REGANTESPOZO LA SANDOVALA","Andalucía","Granada","D.H. de las Cuencas Mediterráneas Andaluzas","160","82"
"137","1980-01-01 00:00:00","BAJO GUADALQUIVIR","Andalucía","Sevilla","D.H. del Guadalquivir","3369","41727"
"139","1980-01-01 00:00:00","JUZGADO PRIVATIVO DE AGUAS DE ROJALES","Comunidad Valenciana","Alicante","D.H. del Segura","592","707"
"142","1980-01-01 00:00:00","J.C.R. ARROCEROS DE LA MARGEN IZQUIERDA DEL GUADALQUIVIR","Andalucía","Sevilla","D.H. del Guadalquivir","16","12000"
